#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
神凪・願【花袖】,2,5,2,0,0,,52,,3,0,0,0,0,回避性能,1,翔蟲使い,1,,,,,,,カムラチケット,2,迅竜の鋭刃翼,2,堅竜骨,1,ノヴァクリスタル,1,,,,,,,410
ガブラスーツＳグラブ,0,5,2,0,0,,52,60,1,1,1,1,3,会心撃【属性】,1,風圧耐性,1,,,,,,,縞模様の皮,2,迅竜の上鱗,2,獄炎石,1,尖竜骨,2,,,,,,,420
イソネＳアーム,0,5,2,0,0,,58,66,-1,2,-3,0,1,ボマー,2,精霊の加護,1,,,,,,,人魚竜の上鱗,4,人魚竜の尖鉤爪,2,人魚竜の堅殻,1,眠狗竜の尖爪,2,,,,,,,430
ベリオＳアーム,0,5,2,0,0,,58,66,-3,0,-1,3,0,納刀術,1,渾身,1,見切り,1,,,,,氷牙竜の堅殻,4,氷牙竜の上毛皮,1,凍結袋,2,肉厚な上皮,3,,,,,,,440
カガチＳアーム,0,5,2,0,0,,58,66,0,-3,3,0,0,体術,3,,,,,,,,,飛雷竜の上鱗,4,飛雷竜の雷極針,2,電撃袋,1,堅竜骨,2,,,,,,,450
ジャナフＳアーム,0,6,1,0,0,,60,80,3,-3,-1,-1,0,ＫＯ術,2,攻撃,2,,,,,,,蛮顎竜の上鱗,3,蛮顎竜の鋭牙,2,爆炎袋,2,獄炎石,1,,,,,,,460
ナルガＳアーム,0,6,1,1,0,,60,80,-2,1,-3,1,1,回避性能,1,回避距離ＵＰ,1,,,,,,,迅竜の鋭牙,3,迅竜の上鱗,4,迅竜の鋭刃翼,1,鎌鼬竜の上刃尾,1,,,,,,,470
ミツネＳアーム,0,6,2,0,0,,60,80,0,2,-3,1,-1,死中に活,1,満足感,1,,,,,,,泡狐竜の上鱗,4,泡立つ上滑液,2,泡狐竜の尖爪,2,上質なヒレ,2,,,,,,,480
レウスＳアーム,0,6,2,0,0,,62,82,3,1,-2,1,-3,攻撃,2,,,,,,,,,火竜の上鱗,4,火竜の鋭翼爪,1,爆炎袋,3,溶岩獣の上鱗,2,,,,,,,490
ジンオウＳアーム,0,6,2,0,0,,62,82,0,-1,4,-4,1,力の解放,1,体術,1,,,,,,,雷狼竜の高電殻,3,雷狼竜の堅殻,2,雷狼竜の尖爪,2,雷光虫,3,,,,,,,500
ロワーガＳマーノ,1,6,3,0,0,,62,68,-2,0,3,-2,2,回避性能,1,,,,,,,,,オオクワアゲハ,2,埋もれた竜骨骸,3,雌火竜の上棘,1,妃蜘蛛の堅殻,1,,,,,,,510
ファルメルＳマーノ,2,6,0,0,1,,62,,-2,0,3,-2,2,回避性能,1,,,,,,,,,オオクワアゲハ,2,埋もれた竜骨骸,3,雌火竜の上棘,1,妃蜘蛛の堅殻,1,,,,,,,520
メデュレトＳグラブ,0,6,1,1,0,,62,68,1,3,0,2,0,精霊の加護,2,,,,,,,,,ゴスゴシックラゲ,1,海綿質の上皮,2,堅竜骨,1,カブレライト鉱石,4,,,,,,,530
禍鎧・覇【篭手】,0,6,2,0,0,,64,84,3,-3,-2,1,1,鬼火纏,1,匠,2,,,,,,,怨虎竜の妖腕刃,3,怨虎竜の上鱗,4,怨虎竜の妖刀殻,1,怨虎竜の紫玉,1,,,,,,,540
ゴシャＳアーム,0,6,2,0,0,,64,84,-4,1,-1,4,0,抜刀術【技】,1,抜刀術【力】,1,,,,,,,雪鬼獣の上皮,4,雪鬼獣の堅腕甲,2,堅牢な巨骨,2,白兎獣の堅腹甲,1,,,,,,,550
オロミドＳアーム,0,6,1,1,0,,64,84,-4,3,3,-2,-2,高速変形,1,回避性能,2,,,,,,,泥翁竜の尖爪,2,泥翁竜の堅殻,3,黄金色の粘泥土,3,ノヴァクリスタル,1,,,,,,,560
レックスＳアーム,0,6,3,0,0,,64,84,2,0,-3,0,-2,鈍器使い,2,心眼,1,,,,,,,轟竜の堅殻,3,轟竜の尖爪,3,轟竜の上鱗,1,ユニオン鉱石,4,,,,,,,570
ディアブロＳアーム,0,6,2,1,0,,64,84,3,-1,-1,-3,-1,攻めの守勢,1,,,,,,,,,角竜の堅甲,4,角竜の堅殻,1,角竜の牙,2,堅竜骨,2,,,,,,,580
ヤツカダアーム,0,6,2,0,0,,66,86,4,-2,-1,-3,1,体術,2,スタミナ急速回復,1,,,,,,,妃蜘蛛の鋭爪,4,妃蜘蛛の堅殻,1,妃蜘蛛の絹糸,3,モンスターの濃汁,2,,,,,,,590
金色ノ篭手,0,7,3,1,0,,70,90,2,1,3,-5,2,火事場力,1,力の解放,1,,,,,,,金獅子の黒毛,2,金獅子の尖爪,2,堅牢な巨骨,3,竜玉,1,,,,,,,600
ダマスクアーム,0,7,2,1,0,,68,88,-1,2,-3,1,-1,耳栓,1,,,,,,,,,古龍の血,2,雪鬼獣の堅腕甲,2,怨虎竜の魂結晶,1,ユニオン鉱石,3,,,,,,,
クシャナハトゥー,0,7,1,0,0,,74,94,-1,2,-2,3,-3,鋼殻の恩恵,1,回復速度,1,挑戦者,2,,,,,鋼の上龍鱗,5,鋼龍の尖爪,3,古龍骨,3,ノヴァクリスタル,1,,,,,,,
ミヅハ【大袖】,0,7,1,0,0,,74,94,-5,1,0,3,-3,霞皮の恩恵,1,毒属性強化,1,回避性能,1,,,,,霞龍の上皮,5,霞龍の尻尾,2,古龍骨,3,毒妖鳥の大喉袋,2,,,,,,,
カイザーアーム,0,7,2,0,0,,74,94,4,-4,1,-1,-3,炎鱗の恩恵,1,見切り,1,超会心,1,,,,,獄炎の龍鱗,5,炎龍の塵粉,2,炎王龍の尻尾,1,炎龍の宝玉,1,,,,,,,
バゼルアーム,0,7,2,2,0,,72,92,3,1,-4,-2,-2,砲弾装填,1,ガード強化,1,,,,,,,爆鱗竜の堅殻,5,爆鱗竜の爆腺,2,爆鱗竜の翼,1,爆炎袋,2,,,,,,,610
しまきのかいな,0,7,0,0,0,,66,86,-1,0,0,0,-2,風紋の一致,1,体術,1,スタミナ急速回復,1,風雷合一,1,,,風神龍の上皮,4,風神龍の堅殻,1,風神龍の尖爪,2,火竜の翼膜,1,,,,,,,
なるかみのかいな,0,7,0,0,0,,76,96,2,1,4,-3,-4,雷紋の一致,1,ガード性能,1,破壊王,1,風雷合一,1,,,雷神龍の堅殻,4,雷神龍の触手,3,雷神龍の尖爪,1,電撃袋,3,,,,,,,620
赫耀ノアーム,0,7,2,0,0,,80,100,-2,-2,-2,-2,3,龍気活性,1,弱点特効,2,,,,,,,赫揺れる龍鱗,6,天彗龍の尖爪,2,天彗龍の背尖甲,2,炎龍の塵粉,2,,,,,,,
蒼世ノ侍【袖】,0,,1,0,0,,72,92,2,2,0,0,2,体術,1,弱点特効,1,会心撃【属性】,2,,,,,,,,,,,,,,,,,,,
カムラノ装【手甲】継,0,8,1,0,0,,80,108,2,0,0,0,0,見切り,2,火事場力,1,精霊の加護,1,,,,,,,,,,,,,,,,,,,5000
レザーＸグラブ,0,8,4,1,0,,80,108,0,0,0,0,0,地質学,1,特殊射撃強化,1,,,,,,,,,,,,,,,,,,,,,5010
チェーンＸグラブ,0,8,4,1,0,,82,110,0,0,1,0,0,スタミナ急速回復,1,防御,2,,,,,,,,,,,,,,,,,,,,,5020
ハンターＸアーム,0,8,2,0,0,,82,110,0,0,0,0,0,納刀術,1,匠,1,装填拡張,1,,,,,,,,,,,,,,,,,,,5030
アロイＸアーム,0,8,2,1,0,,82,110,-1,0,-1,-1,0,水属性攻撃強化,1,見切り,2,,,,,,,,,,,,,,,,,,,,,5040
ボーンＸアーム,0,8,1,1,0,,82,110,0,0,0,-1,0,抜刀術【力】,2,スタミナ奪取,1,ランナー,1,,,,,,,,,,,,,,,,,,,5050
リノプロＸアーム,0,8,2,2,0,,90,118,2,0,0,-2,0,砲術,2,砲弾装填,1,特殊射撃強化,1,,,,,,,,,,,,,,,,,,,5060
ブナハＸグローブ,0,8,4,0,0,,84,112,-2,0,0,0,2,毒属性強化,2,回避性能,2,,,,,,,,,,,,,,,,,,,,,5080
タロスアーム,0,8,4,2,0,,86,114,-1,-1,-1,-1,4,龍属性攻撃強化,1,ブレ抑制,2,,,,,,,,,,,,,,,,,,,,,5090
ランゴアーム,0,8,3,0,0,,84,112,-2,1,1,1,2,麻痺属性強化,2,乗り名人,1,,,,,,,,,,,,,,,,,,,,,5100
狗竜の革篭手Ｘ,0,8,1,1,0,,90,118,0,0,0,1,0,攻撃,3,,,,,,,,,,,,,,,,,,,,,,,5110
ランポスアーム,0,8,3,1,0,,86,114,0,0,0,-2,0,攻撃,2,,,,,,,,,,,,,,,,,,,,,,,5130
イズチＸアーム,0,8,1,1,0,,86,114,2,-1,-2,0,0,体術,2,回避性能,1,,,,,,,,,,,,,,,,,,,,,5140
バギィＸアーム,0,8,4,1,0,,86,114,-4,-1,-1,2,1,睡眠耐性,2,睡眠属性強化,1,,,,,,,,,,,,,,,,,,,,,5150
クルルＸアーム,0,8,2,1,0,,86,114,0,-3,0,1,0,ＫＯ術,1,スタミナ奪取,2,納刀術,1,,,,,,,,,,,,,,,,,,,5160
フロギィＸアーム,0,8,4,0,0,,88,116,2,-2,1,-4,0,装填拡張,1,毒耐性,2,心眼,2,,,,,,,,,,,,,,,,,,,5170
アシラＸアーム,0,8,1,1,0,,86,114,-2,0,-2,0,0,逆襲,1,防御,1,逆恨み,2,,,,,,,,,,,,,,,,,,,5180
ウルクＸアーム,0,8,2,1,0,,86,114,-3,1,0,3,0,見切り,2,氷属性攻撃強化,3,,,,,,,,,,,,,,,,,,,,,5190
ラングロＸアーム,0,8,1,1,1,,94,122,2,-3,0,-1,1,回避距離ＵＰ,1,麻痺属性強化,1,耳栓,1,,,,,,,,,,,,,,,,,,,5200
アケノＸアーム,0,8,2,1,1,,88,116,3,-3,-1,0,0,フルチャージ,1,火属性攻撃強化,2,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,5210
ルドロスＸアーム,0,8,2,2,1,,92,120,-3,4,-1,0,0,ランナー,1,強化持続,1,弾丸節約,1,,,,,,,,,,,,,,,,,,,5220
ボロスＸアーム,0,8,2,1,0,,94,122,-3,-1,3,-1,0,攻撃,2,滑走強化,1,攻めの守勢,1,散弾・拡散矢強化,1,,,,,,,,,,,,,,,,,5230
ザザミアーム,0,8,2,0,0,,94,122,-5,1,-3,-1,2,ガード性能,2,ガード強化,1,通常弾・連射矢強化,2,,,,,,,,,,,,,,,,,,,5240
ヨツミＸアーム,0,8,1,1,0,,90,118,-1,4,-2,1,0,火事場力,2,特殊射撃強化,2,腹減り耐性,1,,,,,,,,,,,,,,,,,,,5250
インゴットＸアーム,0,8,4,2,0,,94,114,-1,-1,1,0,0,雷属性攻撃強化,3,,,,,,,,,,,,,,,,,,,,,,,5260
スカルダＸマーノ,1,8,4,1,1,,98,118,3,-1,-1,-1,3,力の解放,1,毒耐性,1,,,,,,,,,,,,,,,,,,,,,5270
スパイオＸマーノ,2,8,4,1,1,,98,118,3,-1,-1,-1,3,力の解放,1,毒耐性,1,,,,,,,,,,,,,,,,,,,,,5280
エーデルＸラーマ,0,8,2,1,0,,96,116,-1,3,-1,0,0,捕獲名人,1,広域化,3,,,,,,,,,,,,,,,,,,,,,5300
アルブーロＸグローブ,0,8,1,1,0,,96,116,0,2,1,-1,0,散弾・拡散矢強化,2,通常弾・連射矢強化,1,,,,,,,,,,,,,,,,,,,,,5310
メルホアＸラーマ,0,8,4,2,0,,92,118,0,1,3,0,0,麻痺耐性,1,植生学,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,5320
ゴギョウノコテ,0,8,4,0,0,,100,120,0,0,0,0,3,精霊の加護,1,弾導強化,2,,,,,,,,,,,,,,,,,,,,,5330
軽装騎士【手甲】,0,8,2,1,0,,100,116,1,1,1,1,1,ガード強化,3,ひるみ軽減,2,,,,,,,,,,,,,,,,,,,,,5340
ユクモノコテ,0,8,1,1,1,,92,112,0,0,2,0,0,見切り,2,回避性能,2,,,,,,,,,,,,,,,,,,,,,5350
フルフルＸアーム,0,8,4,1,0,,96,116,-4,1,4,2,1,壁面移動,1,回復速度,1,雷属性攻撃強化,3,,,,,,,,,,,,,,,,,,,5370
テンゴＸアーム,0,8,4,0,0,,96,116,-2,2,2,-4,2,アイテム使用強化,1,気絶耐性,1,早食い,1,,,,,,,,,,,,,,,,,,,5380
テンゴＺアーム,0,8,2,1,0,,96,116,2,-4,-2,0,2,力の解放,3,納刀術,1,,,,,,,,,,,,,,,,,,,,,5390
プケプケＸアーム,0,8,3,0,0,,96,116,0,3,-3,0,1,弾丸節約,1,弾導強化,2,,,,,,,,,,,,,,,,,,,,,5400
ジュラＸアーム,0,8,3,2,1,,96,116,-1,2,-3,0,0,逆恨み,2,,,,,,,,,,,,,,,,,,,,,,,5410
バサルＸアーム,0,8,2,1,0,,100,120,0,-2,1,1,-3,ガード性能,3,砥石使用高速化,1,,,,,,,,,,,,,,,,,,,,,5420
イソネＸアーム,0,8,2,0,0,,96,116,-1,2,-3,0,1,ボマー,2,精霊の加護,1,弾丸節約,2,匠,1,,,,,,,,,,,,,,,,,5430
イソネＺアーム,0,8,4,1,0,,108,124,-3,1,-1,3,2,会心撃【属性】,1,達人芸,1,氷属性攻撃強化,1,,,,,,,,,,,,,,,,,,,5440
レイアＸアーム,0,8,2,1,0,,96,116,3,0,-2,0,-3,属性やられ耐性,1,広域化,2,満足感,1,,,,,,,,,,,,,,,,,,,5450
カガチＸアーム,0,8,3,0,0,,96,116,0,-3,3,0,0,体術,3,不屈,1,,,,,,,,,,,,,,,,,,,,,5460
ジャナフＸアーム,0,8,1,0,0,,98,118,3,-3,-1,-1,0,ＫＯ術,2,攻撃,2,挑戦者,1,,,,,,,,,,,,,,,,,,,5470
ドーベルＸアーム,0,8,3,1,1,,104,120,-2,0,0,0,4,龍属性攻撃強化,1,強化持続,2,反動軽減,2,,,,,,,,,,,,,,,,,,,5490
ヴァイクＸアーム,0,8,2,1,0,,100,116,0,3,-2,-1,0,通常弾・連射矢強化,2,腹減り耐性,1,業物,2,,,,,,,,,,,,,,,,,,,5500
マギュルＸラーマ,0,8,4,1,1,,100,116,-3,1,0,3,0,爆破やられ耐性,1,ひるみ軽減,2,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,5510
デスギアＸファオスト,0,8,2,0,0,,110,126,3,1,1,-1,0,渾身,2,攻撃,1,,,,,,,,,,,,,,,,,,,,,5520
マカルパＸスリーブ,0,8,2,2,0,,104,120,1,2,-2,0,0,泡沫の舞,1,飛び込み,1,死中に活,1,,,,,,,,,,,,,,,,,,,5530
ロワーガＸマーノ,1,8,3,0,0,,110,126,-2,0,3,-2,2,回避性能,2,見切り,1,,,,,,,,,,,,,,,,,,,,,5540
ファルメルＸマーノ,2,8,3,0,0,,110,126,-2,0,3,-2,2,回避性能,2,見切り,1,,,,,,,,,,,,,,,,,,,,,5550
砲術隊【篭手】,0,8,1,0,0,,106,122,1,1,1,1,1,装填拡張,1,装填速度,1,砲術,2,,,,,,,,,,,,,,,,,,,5560
ギルドバードアーム,1,8,2,1,0,,104,120,0,0,0,0,0,回避性能,1,キノコ大好き,1,幸運,1,,,,,,,,,,,,,,,,,,,5570
スカラーグラブ,2,8,2,1,0,,104,120,0,0,0,0,0,回避性能,1,キノコ大好き,1,幸運,1,,,,,,,,,,,,,,,,,,,5580
ガーディアンアーム,0,8,2,2,1,,108,124,2,0,0,2,3,ガード性能,1,砥石使用高速化,1,耳栓,1,,,,,,,,,,,,,,,,,,,5590
ブリゲイドＸアーム,0,8,3,3,0,,106,122,1,0,2,0,2,地質学,2,供応,1,精霊の加護,1,,,,,,,,,,,,,,,,,,,5600
ベリオＸアーム,0,8,2,1,0,,108,124,-5,0,-1,3,0,納刀術,1,渾身,1,見切り,2,,,,,,,,,,,,,,,,,,,5610
禍鎧・真【篭手】,0,8,2,0,0,,110,126,3,-3,-2,1,1,鬼火纏,1,匠,2,装填拡張,2,,,,,,,,,,,,,,,,,,,5620
ナルガＸアーム,0,8,2,1,0,,108,124,-2,1,-3,1,1,回避性能,1,回避距離ＵＰ,1,体術,2,,,,,,,,,,,,,,,,,,,5630
ゴシャＸアーム,0,8,4,0,0,,106,122,-4,1,-1,4,0,抜刀術【技】,1,抜刀術【力】,1,納刀術,1,,,,,,,,,,,,,,,,,,,5640
ゴルムアーム,0,8,2,2,1,,112,128,-1,3,-2,0,2,チャージマスター,1,集中,2,,,,,,,,,,,,,,,,,,,,,5650
ギザミアーム,0,8,2,0,0,,108,124,-3,1,-4,-1,2,研磨術【鋭】,1,フルチャージ,1,見切り,2,貫通弾・貫通矢強化,1,,,,,,,,,,,,,,,,,5660
オロミドＸアーム,0,8,4,1,0,,108,124,-4,3,3,-2,-2,高速変形,1,回避性能,2,,,,,,,,,,,,,,,,,,,,,5670
ヤツカダＸアーム,0,8,4,0,0,,108,124,4,-2,-1,-3,0,体術,2,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,,,5680
オロミドＺアーム,0,9,3,0,0,,112,128,5,-5,0,-4,0,逆恨み,1,ガード強化,2,火事場力,1,,,,,,,,,,,,,,,,,,,5690
ヤツカダＺアーム,0,9,4,0,0,,112,128,2,-4,2,-2,2,渾身,1,高速変形,2,爆破やられ耐性,1,チューンアップ,1,,,,,,,,,,,,,,,,,5700
ウツシ表【手甲】真,1,9,4,0,0,,110,126,3,0,0,0,0,広域化,2,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,,5710
神凪・洸【花袖】,2,9,2,0,0,,110,126,3,0,0,0,0,回避性能,1,翔蟲使い,1,攻撃,2,,,,,,,,,,,,,,,,,,,5720
ウツシ裏【手甲】真,1,9,2,0,0,,110,126,3,0,0,0,0,回避性能,1,翔蟲使い,1,攻撃,2,,,,,,,,,,,,,,,,,,,5730
依巫・燿【花袖】,2,9,4,0,0,,110,126,3,0,0,0,0,広域化,2,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,,5740
ガブラスーツＸグラブ,0,9,4,1,1,,112,128,1,1,1,1,3,会心撃【属性】,1,風圧耐性,2,,,,,,,,,,,,,,,,,,,,,5770
ミツネＸアーム,0,9,4,1,1,,114,130,0,2,-3,1,-1,死中に活,1,満足感,2,,,,,,,,,,,,,,,,,,,,,5780
